Test ID, Timestamp, Technology, Model_Type, Loading_Time_(s), Average_FPS, Peak_Memor__Usage (MB), GPU_Usage_(%)
001, 2024-20-04 10:01, Babylon.js, architecture, 1.8, 62, 280, 10
002, 2024-20-04 10:12, Babylon.js, e_commerce, 2.0, 60, 290, 9
003, 2024-20-04 10:13, Babylon.js, education, 1.9, 61, 285, 12
004, 2024-20-04 10:15, Three.js, architecture, 2.5, 50, 310, 11
005, 2024-20-04 10:20, Three.js, e_commerce, 2.8, 48, 320, 10
006, 2024-20-04 10:25, Three.js, education, 2.6, 49, 315, 15
007, 2024-20-04 11:26, Babylon.js with WebGPU, architecture, 1.5, 70, 250, 25
008, 2024-20-04 11:27, Babylon.js with WebGPU, e_commerce, 1.6, 68, 260, 28
009, 2024-20-04 11:27, Babylon.js with WebGPU, education, 1.7, 69, 255, 26
